"hsapiens_homolog_ensembl_gene" "ensembl_gene_id.x" "external_gene_name.x" "hsapiens_homolog_associated_gene_name.x" "ensembl_gene_id.y" "external_gene_name.y" "hsapiens_homolog_associated_gene_name.y" "ensembl_gene_id" "external_gene_name" "hsapiens_homolog_associated_gene_name"
"1" "ENSG00000000003" "ENSDARG00000015759" "tspan6" "TSPAN6" "ENSGALG00010016772" "TSPAN6" "TSPAN6" "ENSRNOG00000003786" "Tspan6" "TSPAN6"
"2" "ENSG00000000005" "ENSDARG00000052615" "tnmd" "TNMD" "ENSGALG00010016777" "TNMD" "TNMD" "ENSRNOG00000060970" "Tnmd" "TNMD"
"3" "ENSG00000000419" "ENSDARG00000057011" "dpm1" "DPM1" "ENSGALG00010014205" "DPM1" "DPM1" "ENSRNOG00000010993" "Dpm1" "DPM1"
"4" "ENSG00000000457" "ENSDARG00000027046" "scyl3" "SCYL3" "ENSGALG00010014221" "SCYL3" "SCYL3" "ENSRNOG00000025318" "Scyl3" "SCYL3"
"5" "ENSG00000000460" "ENSDARG00000042120" "firrm" "FIRRM" "ENSGALG00010014274" "FIRRM" "FIRRM" "ENSRNOG00000059276" "LOC498265" "FIRRM"
"6" "ENSG00000000938" "ENSDARG00000004378" "yrk" "FGR" "ENSGALG00010016861" "FGR" "FGR" "ENSRNOG00000009912" "Fgr" "FGR"
"7" "ENSG00000001036" "ENSDARG00000044073" "fuca2" "FUCA2" "ENSGALG00010005645" "FUCA2" "FUCA2" "ENSRNOG00000015551" "Fuca2" "FUCA2"
"8" "ENSG00000001084" "ENSDARG00000013095" "gclc" "GCLC" "ENSGALG00010002041" "GCLC" "GCLC" "ENSRNOG00000006302" "Gclc" "GCLC"
"9" "ENSG00000001167" "ENSDARG00000001621" "nfyal" "NFYA" "ENSGALG00010027648" "NFYA" "NFYA" "ENSRNOG00000012702" "Nfya" "NFYA"
"10" "ENSG00000001167" "ENSDARG00000042004" "nfya" "NFYA" "ENSGALG00010027648" "NFYA" "NFYA" "ENSRNOG00000012702" "Nfya" "NFYA"
